Brand,Description,Price,Size,Volume,Classification,PurchasePrice,VendorNumber,VendorName
525,El Tesoro Anejo Gold Tequil,$40 ,750mL,750,1,$31 ,12546,JIM BEAM BRANDS COMPANY    
536,Svedka Cherry Vodka,$13 ,1000mL,1000,1,$10 ,1392,CONSTELLATION BRANDS INC   
538,Amaretto DiSaronno,$13 ,375mL,375,1,$8 ,2555,DISARONNO INTERNATIONAL LLC
539,Bowman's Vodka,$6 ,1000mL,1000,1,$4 ,8004,SAZERAC CO INC             
543,Berkshire Mtn Ethereal Gin,$32 ,750mL,750,1,$23 ,9552,M S WALKER INC             
555,Art In The Age Sage,$30 ,750mL,750,1,$22 ,3664,WILLIAM GRANT & SONS INC   
567,Ketel One Vodka,$29 ,1000mL,1000,1,$21 ,3960,DIAGEO NORTH AMERICA INC   
592,The Glenlivet Archive 21 Yr,$165 ,750mL,750,1,$128 ,17035,PERNOD RICARD USA          
597,Baileys Irish Cream,$28 ,1000mL,1000,1,$22 ,3960,DIAGEO NORTH AMERICA INC   
605,Alate Kosher Wine,$17 ,750mL,750,2,$10 ,10754,PERFECTA WINES             
607,Schmitt Sohne Funf Rsl,$8 ,750mL,750,2,$6 ,9552,M S WALKER INC             
649,Sauza Tres Generaciones Pla,$37 ,750mL,750,1,$29 ,12546,JIM BEAM BRANDS COMPANY    
653,Dom de Canton Ginger Liqueur,$30 ,750mL,750,1,$22 ,3924,HEAVEN HILL DISTILLERIES   
661,Red Stag by Jim Beam,$17 ,750mL,750,1,$10 ,12546,JIM BEAM BRANDS COMPANY    
664,Ardbeg Uigeadail Scotch,$79 ,750mL,750,1,$54 ,8112,MOET HENNESSY USA INC      
676,Pinnacle Whipped Vodka,$11 ,750mL,750,1,$9 ,12546,JIM BEAM BRANDS COMPANY    
680,Midnight Moon Strawberry,$19 ,750mL,750,1,$14 ,9165,ULTRA BEVERAGE COMPANY LLP 
686,Midnight Moon Cherry,$19 ,750mL,750,1,$15 ,9165,ULTRA BEVERAGE COMPANY LLP 
693,Svedka Vanilla Vodka,$13 ,1000mL,1000,1,$9 ,1392,CONSTELLATION BRANDS INC   
742,DeKuyper Spearmint Schnapps,$13 ,1000mL,1000,1,$10 ,12546,JIM BEAM BRANDS COMPANY    
743,Angels Envy Whiskey,$46 ,750mL,750,1,$37 ,480,BACARDI USA INC            
753,LaBelle Winery Blueberry,$20 ,750mL,750,2,$14 ,90032,LABELLE VYDS AND WINERY    
757,Jim Beam Rye,$18 ,750mL,750,1,$14 ,12546,JIM BEAM BRANDS COMPANY    
758,Cointreau Liqueur,$40 ,1000mL,1000,1,$29 ,7239,REMY COINTREAU USA INC     
759,Bunnahabhain 12 Yr Single,$50 ,750mL,750,1,$37 ,9165,ULTRA BEVERAGE COMPANY LLP 
779,Svedka Raspberry Vodka,$13 ,1000mL,1000,1,$10 ,1392,CONSTELLATION BRANDS INC   
780,Svedka Clementine Vodka,$13 ,1000mL,1000,1,$10 ,1392,CONSTELLATION BRANDS INC   
782,Remy Martin 1738 Accord Ryl,$55 ,750mL,750,1,$35 ,7239,REMY COINTREAU USA INC     
802,Bacardi Torched Cherry Rum,$12 ,750mL,750,1,$8 ,480,BACARDI USA INC            
807,Jim Beam,$20 ,1000mL,1000,1,$13 ,12546,JIM BEAM BRANDS COMPANY    
809,Southern Comfort,$18 ,1000mL,1000,1,$13 ,1128,BROWN-FORMAN CORP          
810,Bacardi Black Razz,$12 ,750mL,750,1,$7 ,480,BACARDI USA INC            
811,Jack Daniels No 7 Black,$30 ,1000mL,1000,1,$20 ,1128,BROWN-FORMAN CORP          
812,Jagermeister Liqueur,$23 ,1000mL,1000,1,$17 ,3089,SIDNEY FRANK IMPORTING CO  
820,Hennessy VS Cognac,$40 ,1000mL,1000,1,$26 ,8112,MOET HENNESSY USA INC      
821,Grand Marnier,$39 ,1000mL,1000,1,$28 ,8112,MOET HENNESSY USA INC      
822,Tanqueray,$27 ,1000mL,1000,1,$20 ,3960,DIAGEO NORTH AMERICA INC   
824,Dewars White Label Scotch,$27 ,1000mL,1000,1,$21 ,480,BACARDI USA INC            
828,Bols Sloe Gin,$10 ,1000mL,1000,1,$8 ,6213,MHW LTD                    
831,Bols Green Creme De Menthe,$10 ,1000mL,1000,1,$7 ,6213,MHW LTD                    
836,Bols Creme de Cassis,$10 ,1000mL,1000,1,$8 ,6213,MHW LTD                    
838,Bols Cherry Flavored Brandy,$11 ,1000mL,1000,1,$8 ,6213,MHW LTD                    
854,Seagrams VO Canadian Whiskey,$16 ,1000mL,1000,1,$12 ,3960,DIAGEO NORTH AMERICA INC   
856,Chinaco Blanco Tequila,$30 ,750mL,750,1,$22 ,9165,ULTRA BEVERAGE COMPANY LLP 
857,Kahlua,$22 ,1000mL,1000,1,$16 ,17035,PERNOD RICARD USA          
858,Canadian Club,$12 ,1000mL,1000,1,$9 ,12546,JIM BEAM BRANDS COMPANY    
859,Beefeater Gin,$23 ,1000mL,1000,1,$17 ,17035,PERNOD RICARD USA          
870,Carpano Antica Formula,$30 ,1000mL,1000,2,$18 ,9165,ULTRA BEVERAGE COMPANY LLP 
876,DeKuyper Creme de Cacao Whit,$9 ,1000mL,1000,1,$7 ,12546,JIM BEAM BRANDS COMPANY    
883,Patron Burdeos Anejo Tequila,$500 ,750mL,750,1,$391 ,9165,ULTRA BEVERAGE COMPANY LLP 
892,Uncle Val's Botanical Gin,$34 ,750mL,750,1,$25 ,653,STATE WINE & SPIRITS   
903,Bombay Sapphire Gin,$25 ,1000mL,1000,1,$19 ,480,BACARDI USA INC            
934,Tanteo Jalapeno Tequila,$36 ,750mL,750,1,$26 ,9165,ULTRA BEVERAGE COMPANY LLP 
942,Glenmorangie Nectar D'Or,$65 ,750mL,750,1,$45 ,8112,MOET HENNESSY USA INC      
950,Mastersons 10 Yr Old Rye,$80 ,750mL,750,1,$59 ,653,STATE WINE & SPIRITS   
966,Patron Citronge Orange Liqu,$21 ,750mL,750,1,$16 ,9165,ULTRA BEVERAGE COMPANY LLP 
970,Prairie Organic Kosher Vodka,$18 ,750mL,750,1,$12 ,9206,PHILLIPS PRODUCTS CO.      
971,Sauza Extra Gold Tequila,$16 ,1000mL,1000,1,$11 ,12546,JIM BEAM BRANDS COMPANY    
973,Bacardi 1873 Solera Rum,$20 ,750mL,750,1,$12 ,480,BACARDI USA INC            
984,Patron XO Cafe Liqueur,$26 ,750mL,750,1,$21 ,9165,ULTRA BEVERAGE COMPANY LLP 
993,Three Olives S'Mores Vodka,$15 ,750mL,750,1,$8 ,7245,PROXIMO SPIRITS INC.       
999,Jameson 18 Year Old,$115 ,750mL,750,1,$90 ,17035,PERNOD RICARD USA          
1094,Four Roses Single Barrel Brb,$41 ,750mL,750,1,$30 ,9552,M S WALKER INC             
1099,Angel's Envy NH Blend Bourbn,$46 ,750mL,750,1,$33 ,480,BACARDI USA INC            
1106,Aberfeldy Single Cask,$250 ,750mL,750,1,$156 ,480,BACARDI USA INC            
1133,Glenmorangie Collection 4 Pk,$32 ,100mL 4 Pk,100,1,$23 ,8112,MOET HENNESSY USA INC      
1135,Rebel Reserve Bourbon,$20 ,750mL,750,1,$16 ,8352,LUXCO INC                  
1136,Malibu 50ml Sampler Pack,$5 ,50mL 5 Pk,50,1,$4 ,17035,PERNOD RICARD USA          
1174,Rebel Yell,$20 ,1750mL,1750,1,$16 ,8352,LUXCO INC                  
1178,Evan Williams Black Label B,$11 ,750mL,750,1,$8 ,3924,HEAVEN HILL DISTILLERIES   
1180,Evan Williams Black Label B,$17 ,1750mL,1750,1,$13 ,3924,HEAVEN HILL DISTILLERIES   
1186,Evan Williams Single Barrel,$25 ,750mL,750,1,$18 ,3924,HEAVEN HILL DISTILLERIES   
1202,Hennessy VS Chain VAP,$32 ,750mL,750,1,$19 ,8112,MOET HENNESSY USA INC      
1212,DiSaronna Amaretto Sour VAP,$22 ,750mL,750,1,$14 ,2555,DISARONNO INTERNATIONAL LLC
1220,Woodford Reserve Bourbon,$30 ,750mL,750,1,$22 ,1128,BROWN-FORMAN CORP          
1226,Lexington Bourbon,$30 ,750mL,750,1,$20 ,9625,WESTERN SPIRITS BEVERAGE CO
1228,Glenfiddich Ancient RSV 18,$96 ,750mL,750,1,$70 ,3664,WILLIAM GRANT & SONS INC   
1231,Jack Daniels No 7 Black,$13 ,375mL,375,1,$9 ,1128,BROWN-FORMAN CORP          
1232,Jack Daniels No 7 Black,$23 ,750mL,750,1,$16 ,1128,BROWN-FORMAN CORP          
1233,Jack Daniels No 7 Black,$37 ,1750mL,1750,1,$26 ,1128,BROWN-FORMAN CORP          
1237,Jack Daniels Single Barrel,$45 ,750mL,750,1,$34 ,1128,BROWN-FORMAN CORP          
1238,The Glenlivet 12 Yr Single,$5 ,50mL,50,1,$4 ,17035,PERNOD RICARD USA          
1239,Booker's Bourbon,$50 ,750mL,750,1,$40 ,12546,JIM BEAM BRANDS COMPANY    
1242,Jeremiah Weed Cinnamon Whsky,$11 ,750mL,750,1,$8 ,3960,DIAGEO NORTH AMERICA INC   
1244,Jack Daniels Winter Jack,$18 ,750mL,750,1,$13 ,1128,BROWN-FORMAN CORP          
1252,Jim Beam Bonded Bourbon,$23 ,750mL,750,1,$14 ,12546,JIM BEAM BRANDS COMPANY    
1258,Jim Beam Black,$23 ,750mL,750,1,$17 ,12546,JIM BEAM BRANDS COMPANY    
1269,Jeffersons Bourbon,$26 ,750mL,750,1,$19 ,1485,CASTLE BRANDS CORP.        
1271,Jeffersons Reserve Bourbon,$50 ,750mL,750,1,$38 ,1485,CASTLE BRANDS CORP.        
1273,Jim Beam Choice,$32 ,1750mL,1750,1,$23 ,12546,JIM BEAM BRANDS COMPANY    
1274,No. 14 Bourbon,$45 ,750mL,750,1,$35 ,9165,ULTRA BEVERAGE COMPANY LLP 
1278,Jim Beam Black,$36 ,1750mL,1750,1,$27 ,12546,JIM BEAM BRANDS COMPANY    
1281,Benchmark Old #8 Bourbon,$15 ,1750mL,1750,1,$11 ,8004,SAZERAC CO INC             
1282,Small Batch 1792,$30 ,750mL,750,1,$19 ,660,SAZERAC NORTH AMERICA INC. 
1295,Jack Daniels No 7 Black,$4 ,100mL,100,1,$3 ,1128,BROWN-FORMAN CORP          
1296,Tap 357 Maple Rye Whisky,$27 ,750mL,750,1,$21 ,4425,MARTIGNETTI COMPANIES
1304,Jeremiah Weed Sarsaparilla,$11 ,750mL,750,1,$8 ,3960,DIAGEO NORTH AMERICA INC   
1309,Makers Mark Cask Strength,$60 ,750mL,750,1,$44 ,12546,JIM BEAM BRANDS COMPANY    
1323,Early Times,$17 ,1750mL,1750,1,$14 ,1128,BROWN-FORMAN CORP          
1328,Ole Smoky Peach Moonshine,$20 ,750mL,750,1,$12 ,6359,OLE SMOKY DISTILLERY LLC   
1340,Jim Beam Jacob's Ghost,$22 ,750mL,750,1,$14 ,12546,JIM BEAM BRANDS COMPANY    
1343,Jack Daniels Sinatra Select,$166 ,1000mL,1000,1,$123 ,1128,BROWN-FORMAN CORP          
1345,Basil Hayden Bourbon,$38 ,750mL,750,1,$28 ,12546,JIM BEAM BRANDS COMPANY    
1346,Knob Creek Bourbon,$30 ,750mL,750,1,$23 ,12546,JIM BEAM BRANDS COMPANY    
1347,Bakers Bourbon,$40 ,750mL,750,1,$31 ,12546,JIM BEAM BRANDS COMPANY    
1348,Knob Creek Bourbon,$18 ,375mL,375,1,$12 ,12546,JIM BEAM BRANDS COMPANY    
1352,Patron Anejo Clsc Gift Set,$62 ,750mL,750,1,$41 ,9165,ULTRA BEVERAGE COMPANY LLP 
1355,Knob Creek Bourbon,$3 ,50mL,50,1,$3 ,12546,JIM BEAM BRANDS COMPANY    
1358,Knob Creek Bourbon,$65 ,1750mL,1750,1,$43 ,12546,JIM BEAM BRANDS COMPANY    
1359,Knob Creek Rye,$33 ,750mL,750,1,$22 ,12546,JIM BEAM BRANDS COMPANY    
1361,BenRiach 1994,$190 ,750mL,750,1,$139 ,9165,ULTRA BEVERAGE COMPANY LLP 
1364,Bols Pumpkin Spice,$10 ,750mL,750,1,$7 ,6213,MHW LTD                    
1365,Stoli Mini Bar 5/50mLs Pack,$8 ,50mL 5 Pk,50,1,$6 ,8664,"STOLI GROUP,(USA) LLC      "
1366,Red Stag by Jim Beam,$1 ,50mL,50,1,$1 ,12546,JIM BEAM BRANDS COMPANY    
1373,Jim Beam Honey,$17 ,750mL,750,1,$10 ,12546,JIM BEAM BRANDS COMPANY    
1375,Jim Beam,$14 ,750mL,750,1,$12 ,12546,JIM BEAM BRANDS COMPANY    
1376,Jim Beam,$22 ,1750mL,1750,1,$16 ,12546,JIM BEAM BRANDS COMPANY    
1378,Jim Beam,$9 ,375mL,375,1,$7 ,12546,JIM BEAM BRANDS COMPANY    
1379,Jim Beam Traveler,$14 ,750mL,750,1,$11 ,12546,JIM BEAM BRANDS COMPANY    
1380,Bulleit 95 Rye,$50 ,1750mL,1750,1,$34 ,3960,DIAGEO NORTH AMERICA INC   
1382,Makers 46,$40 ,750mL,750,1,$29 ,12546,JIM BEAM BRANDS COMPANY    
1384,Bulleit 95 Rye,$26 ,750mL,750,1,$19 ,3960,DIAGEO NORTH AMERICA INC   
1385,Makers Mark,$27 ,750mL,750,1,$20 ,12546,JIM BEAM BRANDS COMPANY    
1386,George Dickel No 8 Bourbon,$22 ,750mL,750,1,$15 ,3960,DIAGEO NORTH AMERICA INC   
1388,Red Stag by Jim Beam,$29 ,1750mL,1750,1,$19 ,12546,JIM BEAM BRANDS COMPANY    
1389,Makers Mark,$3 ,50mL,50,1,$2 ,12546,JIM BEAM BRANDS COMPANY    
1392,Red Stag Hardcore Cider,$17 ,750mL,750,1,$11 ,12546,JIM BEAM BRANDS COMPANY    
1393,Jim Beam,$5 ,200mL,200,1,$3 ,12546,JIM BEAM BRANDS COMPANY    
1394,Makers Mark,$16 ,375mL,375,1,$13 ,12546,JIM BEAM BRANDS COMPANY    
1395,Old Crow,$9 ,750mL,750,1,$6 ,12546,JIM BEAM BRANDS COMPANY    
1396,Old Crow,$16 ,1750mL,1750,1,$10 ,12546,JIM BEAM BRANDS COMPANY    
1397,Jim Beam Kentucky Fire,$17 ,750mL,750,1,$11 ,12546,JIM BEAM BRANDS COMPANY    
1398,Blantons Sgl Barrel Bourbon,$57 ,750mL,750,1,$41 ,8004,SAZERAC CO INC             
1399,Jim Beam Signature Craft,$37 ,750mL,750,1,$28 ,12546,JIM BEAM BRANDS COMPANY    
1404,Woodford Rsv Master Coll Pnt,$90 ,750mL,750,1,$64 ,1128,BROWN-FORMAN CORP          
1415,Old Grand Dad,$15 ,750mL,750,1,$10 ,12546,JIM BEAM BRANDS COMPANY    
1416,Old Grand Dad,$25 ,1750mL,1750,1,$20 ,12546,JIM BEAM BRANDS COMPANY    
1424,Bulleit Bourbon,$15 ,375mL,375,1,$10 ,3960,DIAGEO NORTH AMERICA INC   
1425,Granite Lightning Whiskey,$28 ,750mL,750,1,$21 ,28750,SMOKY QUARTZ DISTILLERY LLC
1464,Tin Cup Whiskey,$26 ,750mL,750,1,$19 ,7245,PROXIMO SPIRITS INC.       
1465,Woodford Rsv Bourbon,$15 ,375mL,375,1,$11 ,1128,BROWN-FORMAN CORP          
1468,Knob Creek Single Barrel Rsv,$45 ,750mL,750,1,$31 ,12546,JIM BEAM BRANDS COMPANY    
1476,Jim Beam Traveler,$22 ,1750mL,1750,1,$16 ,12546,JIM BEAM BRANDS COMPANY    
1479,Ten High,$12 ,1750mL,1750,1,$9 ,660,SAZERAC NORTH AMERICA INC. 
1535,Gentleman Jack,$4 ,50mL,50,1,$3 ,1128,BROWN-FORMAN CORP          
1542,Bowen's American Whiskey,$30 ,750mL,750,1,$23 ,9751,VINEDREA WINES LLC         
1545,Gentleman Jack,$30 ,750mL,750,1,$19 ,1128,BROWN-FORMAN CORP          
1595,Gentleman Jack,$16 ,375mL,375,1,$11 ,1128,BROWN-FORMAN CORP          
1623,Bulleit 95 Rye,$15 ,375mL,375,1,$10 ,3960,DIAGEO NORTH AMERICA INC   
1634,The Famous Grouse,$30 ,1750mL,1750,1,$21 ,2561,EDRINGTON AMERICAS         
1637,Fleischmanns Preferred,$11 ,1750mL,1750,1,$8 ,660,SAZERAC NORTH AMERICA INC. 
1639,The Famous Grouse,$23 ,750mL,750,1,$16 ,2561,EDRINGTON AMERICAS         
1657,Dalwhinnie Distillers Edtion,$70 ,750mL,750,1,$51 ,3960,DIAGEO NORTH AMERICA INC   
1692,Everclear 151,$20 ,750mL,750,1,$13 ,8352,LUXCO INC                  
1715,Ole Smoky Apple Pie Moonshne,$20 ,750mL,750,1,$14 ,6359,OLE SMOKY DISTILLERY LLC   
1725,Ole Smoky White Lightnin',$20 ,750mL,750,1,$14 ,6359,OLE SMOKY DISTILLERY LLC   
1728,Aberlour 16 Year Old Single,$55 ,750mL,750,1,$41 ,17035,PERNOD RICARD USA          
1734,Duggans Dew O Kirkintilloch,$22 ,1750mL,1750,1,$17 ,2496,DUGGANS DISTILLED PRODUCTS 
1737,Makers Mark,$52 ,1750mL,1750,1,$34 ,12546,JIM BEAM BRANDS COMPANY    
1738,Ole Smoky Moonshine Cherries,$20 ,750mL,750,1,$15 ,6359,OLE SMOKY DISTILLERY LLC   
1740,Glenkinchie 12 YO Scotch,$60 ,750mL,750,1,$41 ,3960,DIAGEO NORTH AMERICA INC   
1744,Old Forester 100 Bourbon,$22 ,750mL,750,1,$17 ,1128,BROWN-FORMAN CORP          
1746,Tomatin 12 Yr Old Scotch,$27 ,750mL,750,1,$20 ,9206,PHILLIPS PRODUCTS CO.      
1748,William Grant Scotch,$16 ,750mL,750,1,$10 ,3664,WILLIAM GRANT & SONS INC   
1758,Aberlour Glenlivet 12 Yr,$40 ,750mL,750,1,$30 ,17035,PERNOD RICARD USA          
1760,William Grant Scotch,$26 ,1750mL,1750,1,$20 ,3664,WILLIAM GRANT & SONS INC   
1767,Buffalo Trace Bourbon,$25 ,750mL,750,1,$19 ,8004,SAZERAC CO INC             
1770,Jack Daniels Tennessee Fire,$39 ,1750mL,1750,1,$26 ,1128,BROWN-FORMAN CORP          
1771,Jack Daniels Tennessee Fire,$1 ,50mL,50,1,$1 ,1128,BROWN-FORMAN CORP          
1781,Wild Turkey Russell's Rsv,$50 ,750mL,750,1,$38 ,11567,CAMPARI AMERICA            
1789,Jack Daniels Tennesse Fire,$23 ,750mL,750,1,$17 ,1128,BROWN-FORMAN CORP          
1790,Morrigan Irish Whiskey,$28 ,750mL,750,1,$16 ,9165,ULTRA BEVERAGE COMPANY LLP 
1817,Irishman Founders RSV Whisky,$22 ,750mL,750,1,$17 ,6785,PALM BAY INTERNATIONAL INC 
1835,Knappogue Castle Irish Whsky,$27 ,750mL,750,1,$20 ,1485,CASTLE BRANDS CORP.        
1836,Tyrconnell Irish Whiskey,$30 ,750mL,750,1,$22 ,12546,JIM BEAM BRANDS COMPANY    
1845,Cluny Scotch Whiskey,$16 ,1750mL,1750,1,$11 ,3252,E & J GALLO WINERY         
1848,Oban Little Bay Single Malt,$63 ,750mL,750,1,$47 ,3960,DIAGEO NORTH AMERICA INC   
1860,Bruichladdich Islay Barley,$60 ,750mL,750,1,$46 ,7239,REMY COINTREAU USA INC     
1862,John Power Irish Whiskey,$26 ,750mL,750,1,$19 ,17035,PERNOD RICARD USA          
1867,Jack Daniels Tennessee Honey,$3 ,50mL,50,1,$2 ,1128,BROWN-FORMAN CORP          
1868,Lagavulin Single Malt 16-Yr,$67 ,750mL,750,1,$50 ,3960,DIAGEO NORTH AMERICA INC   
1869,Oban 14-Yr Single Malt,$55 ,750mL,750,1,$40 ,3960,DIAGEO NORTH AMERICA INC   
1870,Oban Distiller's Edition,$80 ,750mL,750,1,$60 ,3960,DIAGEO NORTH AMERICA INC   
1874,Bruichladdich Octomore 61,$110 ,750mL,750,1,$85 ,7239,REMY COINTREAU USA INC     
1875,Bushmills Black Bush,$32 ,750mL,750,1,$21 ,7245,PROXIMO SPIRITS INC.       
1876,Midleton Rare Irish Whiskey,$150 ,750mL,750,1,$107 ,17035,PERNOD RICARD USA          
1880,The Glenlivet Nadurra 16 Yr,$64 ,750mL,750,1,$47 ,17035,PERNOD RICARD USA          
1883,Seagrams 7 Crown,$18 ,1750mL,1750,1,$13 ,3960,DIAGEO NORTH AMERICA INC   
1886,Seagrams 7 Crown,$11 ,750mL,750,1,$8 ,3960,DIAGEO NORTH AMERICA INC   
1892,Yukon Jack,$1 ,50mL,50,1,$1 ,3960,DIAGEO NORTH AMERICA INC   
1893,Port Charlotte Scotch Barley,$55 ,750mL,750,1,$44 ,7239,REMY COINTREAU USA INC     
1896,The Glenlivet 18 Yr Single,$95 ,750mL,750,1,$69 ,17035,PERNOD RICARD USA          
1920,Bowman Brothers Small Batch,$30 ,750mL,750,1,$23 ,8004,SAZERAC CO INC             
1921,Glenfiddich Special Rsv 12,$68 ,1750mL,1750,1,$53 ,3664,WILLIAM GRANT & SONS INC   
1955,Jack Daniels Tennessee Honey,$13 ,375mL,375,1,$10 ,1128,BROWN-FORMAN CORP          
1956,Balvenie 12 Yr Doublewood S,$54 ,750mL,750,1,$40 ,3664,WILLIAM GRANT & SONS INC   
1961,Everclear 151,$35 ,1750mL,1750,1,$24 ,8352,LUXCO INC                  
1964,Jim Beam Single Barrel,$30 ,750mL,750,1,$23 ,12546,JIM BEAM BRANDS COMPANY    
1974,Breaking & Entering Bourbon,$38 ,750mL,750,1,$30 ,9165,ULTRA BEVERAGE COMPANY LLP 
1987,White Mountain Moonshine,$19 ,375mL,375,1,$14 ,17031,FLAG HILL WINERY & VINEYARD
1997,Charles Goodnight Bourbon,$43 ,750mL,750,1,$31 ,4425,MARTIGNETTI COMPANIES
2008,Rebel Yell Small Batch Rye,$22 ,750mL,750,1,$17 ,8352,LUXCO INC                  
2015,Jack Daniels Tennessee Honey,$23 ,750mL,750,1,$18 ,1128,BROWN-FORMAN CORP          
2016,Ardbeg Perpetuum Single Malt,$100 ,750mL,750,1,$75 ,8112,MOET HENNESSY USA INC      
2017,Redbreast Irish Whiskey,$64 ,750mL,750,1,$45 ,17035,PERNOD RICARD USA          
2024,Black Velvet Toasted Caramel,$6 ,375mL,375,1,$4 ,1392,CONSTELLATION BRANDS INC   
2026,Camarena Silver Tequila,$19 ,750mL,750,1,$15 ,3252,E & J GALLO WINERY         
2027,Mayfair London Dry Gin,$30 ,750mL,750,1,$17 ,6213,MHW LTD                    
2029,Springbank 10 Yr Scotch,$69 ,750mL,750,1,$51 ,9165,ULTRA BEVERAGE COMPANY LLP 
