VendorNumber,VendorName,InvoiceDate,PONumber,PODate,PayDate,Quantity,Dollars,Freight,Approval
653,STATE WINE & SPIRITS   ,1/8/2016,8201,12/25/2015,2/13/2016,541,"$5,545",303.7,None
8673,STE MICHELLE WINE ESTATES  ,1/5/2016,8134,12/21/2015,2/6/2016,3008,"$21,380",571.07,None
8664,"STOLI GROUP,(USA) LLC      ",1/12/2016,8202,12/25/2015,2/4/2016,975,"$14,300",349.02,None
8735,SURVILLE ENTERPRISES CORP  ,1/11/2016,8135,12/21/2015,2/8/2016,29,$296,7.14,None
90056,SWEET BABY VINEYARD        ,1/6/2016,8146,12/22/2015,2/5/2016,118,$989,5.04,None
8920,TAKARA SAKE USA INC        ,1/4/2016,8120,12/20/2015,2/6/2016,12,$55,3.62,None
28776,TALL SHIP DISTILLERY LLC   ,1/8/2016,8121,12/20/2015,2/11/2016,6,$133,10.59,None
9819,TREASURY WINE ESTATES      ,1/5/2016,8147,12/22/2015,2/17/2016,1263,"$7,809",243.38,None
8892,TRINCHERO FAMILY ESTATES   ,1/9/2016,8148,12/22/2015,2/9/2016,2089,"$11,652",403.44,None
9165,ULTRA BEVERAGE COMPANY LLP ,1/7/2016,8203,12/25/2015,2/13/2016,6002,"$59,169",1683.03,None
9751,VINEDREA WINES LLC         ,1/9/2016,8204,12/25/2015,2/15/2016,6,$136,1.23,None
90010,VINEXTRA INC               ,1/4/2016,8205,12/25/2015,2/6/2016,24,$176,9.41,None
1587,VINEYARD BRANDS INC        ,1/4/2016,8187,12/24/2015,2/16/2016,497,"$3,442",83.57,None
90024,VINILANDIA USA             ,1/12/2016,8149,12/22/2015,2/21/2016,145,"$1,126",44.36,None
1601,VRANKEN AMERICA            ,1/12/2016,8188,12/24/2015,2/7/2016,28,$394,22.66,None
9622,WEIN BAUER INC             ,1/8/2016,8189,12/24/2015,2/13/2016,12,$229,4.76,None
9625,WESTERN SPIRITS BEVERAGE CO,1/6/2016,8168,12/23/2015,2/14/2016,795,"$8,657",169.46,None
3664,WILLIAM GRANT & SONS INC   ,1/11/2016,8136,12/21/2015,2/14/2016,1118,"$20,144",617.13,None
9815,WINE GROUP INC             ,1/6/2016,8190,12/24/2015,2/8/2016,3532,"$21,330",580.64,None
90058,ZORVINO VINEYARDS          ,1/9/2016,8206,12/25/2015,2/12/2016,23,$187,21.04,None
105,ALTAMAR BRANDS LLC         ,1/17/2016,8234,12/29/2015,2/22/2016,12,$429,2.19,None
4466,AMERICAN VINTAGE BEVERAGE  ,1/19/2016,8207,12/27/2015,2/26/2016,335,"$3,142",16.97,None
287,APPOLO VINEYARDS LLC       ,1/13/2016,8287,1/1/2016,2/18/2016,12,$125,0.66,None
388,ATLANTIC IMPORTING COMPANY ,1/11/2016,8249,12/30/2015,2/18/2016,95,"$2,025",10.73,None
480,BACARDI USA INC            ,1/19/2016,8288,1/1/2016,2/18/2016,32463,"$396,606",1864.05,Frank Delahunt
516,BANFI PRODUCTS CORP        ,1/14/2016,8208,12/27/2015,2/21/2016,5458,"$41,823",204.93,None
2396,BLACK PRINCE DISTILLERY INC,1/15/2016,8209,12/27/2015,2/13/2016,48,$490,2.5,None
1003,BRONCO WINE COMPANY        ,1/15/2016,8250,12/30/2015,2/22/2016,24,$104,0.57,None
1128,BROWN-FORMAN CORP          ,1/15/2016,8210,12/27/2015,2/25/2016,23351,"$298,903",1494.51,Frank Delahunt
1189,BULLY BOY DISTILLERS       ,1/17/2016,8220,12/28/2015,2/12/2016,12,$265,1.19,None
1273,CALEDONIA SPIRITS INC      ,1/16/2016,8211,12/27/2015,2/16/2016,56,"$1,745",9.08,None
11567,CAMPARI AMERICA            ,1/19/2016,8269,12/31/2015,2/19/2016,8662,"$62,474",324.86,None
90046,CANDIA VINEYARDS           ,1/17/2016,8235,12/29/2015,2/14/2016,132,"$1,639",8.36,None
1485,CASTLE BRANDS CORP.        ,1/12/2016,8236,12/29/2015,2/17/2016,2714,"$45,057",202.76,None
2876,CENTEUR IMPORTS LLC        ,1/11/2016,8251,12/30/2015,2/13/2016,6,$52,0.28,None
4380,CHARLES JACQUIN ET CIE INC ,1/16/2016,8270,12/31/2015,2/14/2016,678,"$6,129",29.42,None
1392,CONSTELLATION BRANDS INC   ,1/12/2016,8252,12/30/2015,2/11/2016,36543,"$248,370",1291.52,None
90047,CRUSH WINES                ,1/17/2016,8221,12/28/2015,2/17/2016,260,"$2,246",10.11,None
2242,DELICATO VINEYARDS INC     ,1/16/2016,8253,12/30/2015,2/12/2016,2688,"$23,076",120,None
1590,DIAGEO CHATEAU ESTATE WINES,1/12/2016,8289,1/1/2016,2/22/2016,4612,"$31,455",163.57,None
3960,DIAGEO NORTH AMERICA INC   ,1/14/2016,8271,12/31/2015,2/11/2016,100183,"$954,454",4581.38,Frank Delahunt
2555,DISARONNO INTERNATIONAL LLC,1/12/2016,8237,12/29/2015,2/16/2016,2279,"$21,306",106.53,None
2450,DJINN SPIRITS LLC          ,1/15/2016,8212,12/27/2015,2/28/2016,54,"$1,065",5.32,None
2496,DUGGANS DISTILLED PRODUCTS ,1/19/2016,8290,1/1/2016,2/14/2016,65,"$1,091",5.24,None
17037,Dunn Wine Brokers          ,1/17/2016,8272,12/31/2015,2/11/2016,12,$288,1.32,None
3252,E & J GALLO WINERY         ,1/18/2016,8238,12/29/2015,2/14/2016,36991,"$238,980",1194.9,None
2561,EDRINGTON AMERICAS         ,1/15/2016,8239,12/29/2015,2/17/2016,980,"$29,876",143.4,None
1655,FABRIZIA SPIRITS LLC       ,1/12/2016,8213,12/27/2015,2/21/2016,392,"$3,469",18.39,None
17031,FLAG HILL WINERY & VINEYARD,1/13/2016,8240,12/29/2015,2/15/2016,384,"$5,591",28.52,None
90011,FORTUNE WINE BROKERS LLC   ,1/17/2016,8214,12/27/2015,2/19/2016,72,$608,3.34,None
9744,FREDERICK WILDMAN & SONS   ,1/17/2016,8291,1/1/2016,2/13/2016,2096,"$16,606",84.69,None
90051,FULCHINO VINEYARD INC      ,1/17/2016,8222,12/28/2015,2/27/2016,144,"$1,666",7.67,None
90052,HAUNTING WHISPER VYDS      ,1/11/2016,8292,1/1/2016,2/14/2016,60,$481,2.55,None
3924,HEAVEN HILL DISTILLERIES   ,1/18/2016,8273,12/31/2015,2/15/2016,5696,"$49,644",243.26,None
3950,"HOOD RIVER DISTILLERS, Inc.",1/18/2016,8274,12/31/2015,2/21/2016,1,$16,0.09,None
90053,INCREDIBREW INC            ,1/13/2016,8293,1/1/2016,2/21/2016,58,$511,2.5,None
17032,JEWELL TOWNE VINEYARDS     ,1/17/2016,8294,1/1/2016,2/25/2016,227,"$1,757",8.79,None
12546,JIM BEAM BRANDS COMPANY    ,1/16/2016,8241,12/29/2015,2/15/2016,56213,"$559,692",2910.4,Frank Delahunt
4550,KLIN SPIRITS LLC           ,1/11/2016,8223,12/28/2015,2/20/2016,142,"$1,998",8.99,None
4692,KOBRAND CORPORATION        ,1/17/2016,8215,12/27/2015,2/25/2016,2119,"$28,264",132.84,None
90032,LABELLE VYDS AND WINERY    ,1/16/2016,8295,1/1/2016,2/24/2016,390,"$4,267",21.34,None
4848,LAIRD & CO                 ,1/17/2016,8254,12/30/2015,2/18/2016,160,"$1,214",5.83,None
4950,LATITUDE BEVERAGE COMPANY  ,1/16/2016,8296,1/1/2016,2/21/2016,612,"$3,543",18.78,None
8352,LUXCO INC                  ,1/14/2016,8224,12/28/2015,2/22/2016,5715,"$43,821",197.19,None
9552,M S WALKER INC             ,1/12/2016,8216,12/27/2015,2/23/2016,30388,"$236,370",1134.57,None
10000,MAJESTIC FINE WINES        ,1/13/2016,8242,12/29/2015,2/20/2016,3983,"$30,968",145.55,None
5455,MARSALLE COMPANY           ,1/19/2016,8275,12/31/2015,2/28/2016,131,"$3,850",20.79,None
4425,MARTIGNETTI COMPANIES ,1/11/2016,8255,12/30/2015,2/14/2016,119,"$1,461",6.72,None
4425,MARTIGNETTI COMPANIES,1/18/2016,8276,12/31/2015,2/28/2016,42400,"$458,223",2336.93,Frank Delahunt
5992,MCCORMICK DISTILLING CO    ,1/13/2016,8277,12/31/2015,2/20/2016,576,"$5,745",27,None
6213,MHW LTD                    ,1/18/2016,8256,12/30/2015,2/19/2016,2545,"$28,203",138.2,None
8112,MOET HENNESSY USA INC      ,1/15/2016,8278,12/31/2015,2/15/2016,7717,"$158,211",838.52,None
6215,MOONLIGHT MEADERY          ,1/13/2016,8279,12/31/2015,2/20/2016,286,"$2,521",13.11,None
6355,NICHE W & S                ,1/14/2016,8243,12/29/2015,2/19/2016,251,"$1,226",5.64,None
6359,OLE SMOKY DISTILLERY LLC   ,1/14/2016,8297,1/1/2016,2/13/2016,264,"$3,771",19.61,None
6785,PALM BAY INTERNATIONAL INC ,1/15/2016,8225,12/28/2015,2/20/2016,5275,"$36,301",170.61,None
10754,PERFECTA WINES             ,1/15/2016,8298,1/1/2016,2/16/2016,14881,"$164,345",739.55,None
17035,PERNOD RICARD USA          ,1/13/2016,8257,12/30/2015,2/25/2016,32002,"$467,506",2477.78,Frank Delahunt
9206,PHILLIPS PRODUCTS CO.      ,1/16/2016,8244,12/29/2015,2/21/2016,1537,"$9,290",45.52,None
7153,PINE STATE TRADING CO      ,1/14/2016,8226,12/28/2015,2/16/2016,9824,"$63,607",324.39,None
90027,POVERTY LANE ORCHARDS      ,1/12/2016,8280,12/31/2015,2/21/2016,917,"$6,068",27.31,None
7154,PREMIER DISTRIBUTORS       ,1/19/2016,8299,1/1/2016,2/17/2016,172,"$2,645",13.49,None
7240,"PREMIUM PORT WINES, INC.   ",1/19/2016,8227,12/28/2015,2/18/2016,158,"$1,133",5.89,None
7245,PROXIMO SPIRITS INC.       ,1/11/2016,8228,12/28/2015,2/12/2016,19857,"$234,455",1266.06,None
7255,PSP WINES ,1/18/2016,8217,12/27/2015,2/16/2016,202,"$1,320",6.6,None
7239,REMY COINTREAU USA INC     ,1/13/2016,8229,12/28/2015,2/13/2016,2911,"$64,359",308.92,None
10050,Russian Standard Vodka     ,1/19/2016,8300,1/1/2016,2/22/2016,487,"$1,883",8.66,None
8004,SAZERAC CO INC             ,1/13/2016,8258,12/30/2015,2/17/2016,29748,"$251,426",1181.7,Frank Delahunt
660,SAZERAC NORTH AMERICA INC. ,1/18/2016,8259,12/30/2015,2/26/2016,9281,"$69,322",346.61,None
17033,SEA BREEZE CELLARS LLC     ,1/19/2016,8301,1/1/2016,2/13/2016,101,"$1,234",5.8,None
8150,SEA HAGG DISTILLERY LLC    ,1/13/2016,8245,12/29/2015,2/26/2016,12,$253,1.24,None
98450,Serralles Usa LLC          ,1/16/2016,8302,1/1/2016,2/27/2016,284,"$3,895",19.09,None
8320,SHAW ROSS INT L IMP LTD    ,1/19/2016,8246,12/29/2015,2/21/2016,895,"$7,988",43.93,None
3089,SIDNEY FRANK IMPORTING CO  ,1/14/2016,8303,1/1/2016,2/15/2016,4414,"$38,259",175.99,None
28750,SMOKY QUARTZ DISTILLERY LLC,1/18/2016,8281,12/31/2015,2/25/2016,36,$775,3.95,None
2000,SOUTHERN WINE & SPIRITS NE ,1/17/2016,8304,1/1/2016,2/20/2016,7400,"$62,280",336.31,None
8663,STAR INDUSTRIES INC.       ,1/11/2016,8260,12/30/2015,2/19/2016,12,$197,1.04,None
653,STATE WINE & SPIRITS   ,1/18/2016,8247,12/29/2015,2/19/2016,3284,"$30,646",156.29,None
8673,STE MICHELLE WINE ESTATES  ,1/16/2016,8305,1/1/2016,2/24/2016,6991,"$52,219",261.1,None
12331,STELLAR IMPORTING CO LLC   ,1/11/2016,8261,12/30/2015,2/12/2016,72,$571,2.86,None
8664,"STOLI GROUP,(USA) LLC      ",1/12/2016,8262,12/30/2015,2/12/2016,4387,"$70,460",345.25,None
8735,SURVILLE ENTERPRISES CORP  ,1/12/2016,8263,12/30/2015,2/12/2016,298,"$1,882",9.98,None
90056,SWEET BABY VINEYARD        ,1/16/2016,8264,12/30/2015,2/27/2016,1246,"$10,367",51.84,None
8920,TAKARA SAKE USA INC        ,1/18/2016,8218,12/27/2015,2/20/2016,168,$906,4.89,None
28776,TALL SHIP DISTILLERY LLC   ,1/18/2016,8230,12/28/2015,2/22/2016,11,$230,1.26,None
90037,THE PIERPONT GROUP LLC     ,1/16/2016,8248,12/29/2015,2/13/2016,12,$171,0.79,None
9819,TREASURY WINE ESTATES      ,1/16/2016,8282,12/31/2015,2/22/2016,6780,"$40,265",197.3,None
8892,TRINCHERO FAMILY ESTATES   ,1/19/2016,8283,12/31/2015,2/16/2016,7963,"$47,562",228.3,None
9260,TY KU LLC                  ,1/18/2016,8265,12/30/2015,2/13/2016,42,$423,2.12,None
9165,ULTRA BEVERAGE COMPANY LLP ,1/16/2016,8219,12/27/2015,2/26/2016,18593,"$224,356",1189.08,None
9751,VINEDREA WINES LLC         ,1/17/2016,8266,12/30/2015,2/20/2016,12,$273,1.47,None
90010,VINEXTRA INC               ,1/19/2016,8267,12/30/2015,2/13/2016,120,"$1,338",6.02,None
1587,VINEYARD BRANDS INC        ,1/11/2016,8231,12/28/2015,2/27/2016,2250,"$15,804",75.86,None
90024,VINILANDIA USA             ,1/18/2016,8268,12/30/2015,2/18/2016,1020,"$9,399",49.82,None
1601,VRANKEN AMERICA            ,1/16/2016,8306,1/1/2016,2/15/2016,261,"$5,289",29.09,None
9622,WEIN BAUER INC             ,1/15/2016,8284,12/31/2015,2/17/2016,22,$420,2.01,None
9625,WESTERN SPIRITS BEVERAGE CO,1/11/2016,8232,12/28/2015,2/15/2016,937,"$11,434",51.45,None
3664,WILLIAM GRANT & SONS INC   ,1/14/2016,8233,12/28/2015,2/12/2016,4187,"$74,152",385.59,None
9815,WINE GROUP INC             ,1/18/2016,8285,12/31/2015,2/23/2016,17051,"$101,701",518.68,None
90058,ZORVINO VINEYARDS          ,1/13/2016,8286,12/31/2015,2/14/2016,288,"$2,372",12.81,None
4466,AMERICAN VINTAGE BEVERAGE  ,1/18/2016,8307,1/3/2016,2/18/2016,41,$383,1.99,None
388,ATLANTIC IMPORTING COMPANY ,1/25/2016,8323,1/4/2016,2/23/2016,64,"$1,364",7.1,None
480,BACARDI USA INC            ,1/22/2016,8308,1/3/2016,2/26/2016,15033,"$173,408",832.36,None
516,BANFI PRODUCTS CORP        ,1/21/2016,8339,1/5/2016,2/20/2016,4381,"$29,910",140.58,None
2396,BLACK PRINCE DISTILLERY INC,1/26/2016,8340,1/5/2016,3/4/2016,24,$245,1.13,None
1265,BLACK ROCK SPIRITS LLC     ,1/24/2016,8324,1/4/2016,2/24/2016,6,$84,0.43,None
1128,BROWN-FORMAN CORP          ,1/26/2016,8358,1/6/2016,2/18/2016,11443,"$138,035",690.18,None
1273,CALEDONIA SPIRITS INC      ,1/26/2016,8375,1/7/2016,3/5/2016,59,"$1,732",8.49,None
11567,CAMPARI AMERICA            ,1/23/2016,8376,1/7/2016,2/29/2016,4507,"$25,711",131.13,None
90046,CANDIA VINEYARDS           ,1/23/2016,8359,1/6/2016,2/21/2016,12,$225,1.2,None
1485,CASTLE BRANDS CORP.        ,1/18/2016,8309,1/3/2016,2/27/2016,1418,"$24,412",124.5,None
4380,CHARLES JACQUIN ET CIE INC ,1/19/2016,8392,1/8/2016,2/20/2016,463,"$4,680",22,None
1650,Circa Wines                ,1/22/2016,8377,1/7/2016,3/1/2016,12,$298,1.46,None
1392,CONSTELLATION BRANDS INC   ,1/21/2016,8360,1/6/2016,2/25/2016,23613,"$163,665",900.16,None
90047,CRUSH WINES                ,1/26/2016,8341,1/5/2016,2/22/2016,383,"$3,691",18.09,None
2242,DELICATO VINEYARDS INC     ,1/22/2016,8378,1/7/2016,2/22/2016,3565,"$26,697",136.15,None
1590,DIAGEO CHATEAU ESTATE WINES,1/18/2016,8325,1/4/2016,2/28/2016,2658,"$18,373",95.54,None
3960,DIAGEO NORTH AMERICA INC   ,1/19/2016,8310,1/3/2016,2/23/2016,75392,"$489,727",2350.69,Frank Delahunt
2555,DISARONNO INTERNATIONAL LLC,1/25/2016,8311,1/3/2016,3/6/2016,971,"$8,801",48.41,None
2450,DJINN SPIRITS LLC          ,1/20/2016,8379,1/7/2016,2/20/2016,9,$194,1.05,None
2496,DUGGANS DISTILLED PRODUCTS ,1/19/2016,8393,1/8/2016,2/20/2016,101,"$1,694",8.47,None
17037,Dunn Wine Brokers          ,1/19/2016,8380,1/7/2016,3/5/2016,51,$702,3.79,None
3252,E & J GALLO WINERY         ,1/22/2016,8326,1/4/2016,2/27/2016,22337,"$151,951",698.97,None
2561,EDRINGTON AMERICAS         ,1/21/2016,8361,1/6/2016,2/22/2016,433,"$11,724",64.48,None
1655,FABRIZIA SPIRITS LLC       ,1/18/2016,8342,1/5/2016,3/4/2016,202,"$1,959",9.01,None
17031,FLAG HILL WINERY & VINEYARD,1/18/2016,8381,1/7/2016,2/27/2016,292,"$5,236",26.7,None
90011,FORTUNE WINE BROKERS LLC   ,1/18/2016,8327,1/4/2016,2/28/2016,13,$171,0.86,None
9744,FREDERICK WILDMAN & SONS   ,1/24/2016,8382,1/7/2016,2/22/2016,1886,"$16,996",93.48,None
3924,HEAVEN HILL DISTILLERIES   ,1/20/2016,8343,1/5/2016,2/18/2016,3716,"$33,078",168.7,None
90053,INCREDIBREW INC            ,1/22/2016,8328,1/4/2016,2/20/2016,48,$416,2.17,None
17032,JEWELL TOWNE VINEYARDS     ,1/20/2016,8329,1/4/2016,3/6/2016,144,"$1,144",6.18,None
12546,JIM BEAM BRANDS COMPANY    ,1/20/2016,8330,1/4/2016,2/19/2016,39001,"$382,618",2027.87,Frank Delahunt
4550,KLIN SPIRITS LLC           ,1/25/2016,8362,1/6/2016,3/6/2016,92,"$1,308",6.54,None
4692,KOBRAND CORPORATION        ,1/20/2016,8363,1/6/2016,3/2/2016,4569,"$49,630",233.26,None
90032,LABELLE VYDS AND WINERY    ,1/25/2016,8312,1/3/2016,2/27/2016,108,"$1,153",6.34,None
4848,LAIRD & CO                 ,1/19/2016,8364,1/6/2016,3/5/2016,74,$902,4.78,None
4950,LATITUDE BEVERAGE COMPANY  ,1/18/2016,8394,1/8/2016,2/29/2016,720,"$4,146",20.32,None
8352,LUXCO INC                  ,1/22/2016,8344,1/5/2016,3/3/2016,4226,"$28,477",142.39,None
9552,M S WALKER INC             ,1/19/2016,8345,1/5/2016,3/2/2016,18247,"$173,133",865.66,None
10000,MAJESTIC FINE WINES        ,1/18/2016,8346,1/5/2016,2/18/2016,1690,"$13,634",66.81,None
5455,MARSALLE COMPANY           ,1/18/2016,8313,1/3/2016,3/2/2016,66,"$1,851",8.88,None
4425,MARTIGNETTI COMPANIES ,1/23/2016,8383,1/7/2016,2/29/2016,104,$987,4.64,None
4425,MARTIGNETTI COMPANIES,1/26/2016,8331,1/4/2016,2/28/2016,28412,"$291,914",1517.95,Frank Delahunt
5992,MCCORMICK DISTILLING CO    ,1/22/2016,8347,1/5/2016,2/29/2016,286,"$2,979",14.9,None
6213,MHW LTD                    ,1/19/2016,8384,1/7/2016,2/25/2016,2459,"$28,781",143.9,None
8112,MOET HENNESSY USA INC      ,1/21/2016,8348,1/5/2016,3/1/2016,3519,"$64,918",324.59,None
6215,MOONLIGHT MEADERY          ,1/19/2016,8314,1/3/2016,3/5/2016,60,$516,2.58,None
6355,NICHE W & S                ,1/21/2016,8385,1/7/2016,2/21/2016,54,$483,2.51,None
6359,OLE SMOKY DISTILLERY LLC   ,1/21/2016,8332,1/4/2016,3/3/2016,116,"$1,650",9.08,None
6785,PALM BAY INTERNATIONAL INC ,1/22/2016,8333,1/4/2016,2/23/2016,4319,"$29,048",142.33,None
10754,PERFECTA WINES             ,1/23/2016,8395,1/8/2016,2/27/2016,6644,"$58,587",322.23,None
17035,PERNOD RICARD USA          ,1/25/2016,8315,1/3/2016,2/25/2016,17180,"$220,471",1080.31,None
